24,0.263736
25,0.806452
29,0.580000
26,0.530612
32,0.820513
30,0.461538
30,0.576923
33,0.458333
35,0.500000
34,0.596491
37,0.266187
36,0.562500
37,0.627119
37,0.493333
41,0.745455
43,0.877551
38,0.926829
42,0.506024
47,0.796610
45,0.468750
47,0.652778
48,0.545455
43,0.796296
45,0.555556
47,0.474747
26,0.742857
27,0.658537
35,0.853659
39,0.639344
41,0.577465
51,0.500000
53,0.504762
59,0.508621
65,0.755814
71,0.855422
74,0.870588
78,0.896552
85,0.758929
91,0.710938
97,0.989796
102,0.953271
108,0.878049
108,0.900000
117,0.769737
120,0.603015
127,0.927007
128,0.831169
139,0.798851
136,0.693878
146,0.869048
26,0.282609
29,0.224806
35,0.299145
41,0.390476
46,0.377049
50,0.326797
56,0.400000
61,0.388535
65,0.560345
72,0.439024
75,0.414365
78,0.428571
85,0.500000
92,0.486772
95,0.568862
101,0.545946
107,0.465217
109,0.500000
117,0.404844
120,0.428571
126,0.623762
129,0.441781
135,0.665025
138,0.657143
144,0.000063
24,0.228571
28,0.354430
30,0.468750
32,0.492308
39,0.410526
40,0.533333
42,0.451613
46,0.597403
49,0.437500
51,0.593023
55,0.500000
60,0.697674
60,0.468750
65,0.496183
69,0.492857
71,0.606838
74,0.578125
76,0.546763
79,0.580882
82,0.581560
83,0.560811
88,0.564103
91,0.535294
94,0.712121
97,0.782258
